Date,Power_kW,Holiday,Temperature (C),Power-1,Hour,Week day,HDH
2017-04-01 05:00:00,49.3222235,0.0,11.68,44.542317499999996,5,5,0.0
2017-04-01 06:00:00,53.75711800000001,0.0,11.65,49.3222235,6,5,0.0
2017-04-01 07:00:00,89.052734,0.0,11.53,53.75711800000001,7,5,0.0
2017-04-01 08:00:00,109.9052815,0.0,11.44,89.052734,8,5,0.0
2017-04-01 09:00:00,126.59300049999999,0.0,11.3,109.9052815,9,5,0.0
2017-04-01 10:00:00,222.585076,0.0,11.43,126.59300049999999,10,5,0.0
2017-04-01 11:00:00,196.8739625,0.0,11.76,222.585076,11,5,0.0
2017-04-01 12:00:00,200.89829550000002,0.0,12.41,196.8739625,12,5,0.0
2017-04-01 13:00:00,207.1819185,0.0,13.27,200.89829550000002,13,5,0.0
2017-04-01 14:00:00,212.23757149999997,0.0,14.5,207.1819185,14,5,0.0
2017-04-01 15:00:00,212.1615335,0.0,14.5,212.23757149999997,15,5,0.0
2017-04-01 16:00:00,207.215786,0.0,13.91,212.1615335,16,5,0.0
2017-04-01 17:00:00,153.88649099999995,0.0,13.87,207.215786,17,5,0.0
2017-04-01 18:00:00,133.6671565,0.0,13.77,153.88649099999995,18,5,0.0
2017-04-01 19:00:00,100.0067945,0.0,13.62,133.6671565,19,5,0.0
2017-04-01 20:00:00,79.0683765,0.0,13.44,100.0067945,20,5,0.0
2017-04-01 21:00:00,59.149260999999996,0.0,12.97,79.0683765,21,5,0.0
2017-04-01 22:00:00,49.2278315,0.0,12.91,59.149260999999996,22,5,0.0
2017-04-01 23:00:00,47.202555,0.0,12.36,49.2278315,23,5,0.0
2017-05-01 00:00:00,46.359145,0.0,12.11,47.202555,0,0,0.0
2017-05-01 01:00:00,44.576184999999995,0.0,11.81,46.359145,1,0,0.0
2017-05-01 02:00:00,43.4388925,0.0,11.85,44.576184999999995,2,0,0.0
2017-05-01 03:00:00,42.7965025,0.0,11.37,43.4388925,3,0,0.0
2017-05-01 04:00:00,43.1919875,0.0,10.9,42.7965025,4,0,0.0
2017-05-01 05:00:00,47.8901745,0.0,10.78,43.1919875,5,0,0.0
2017-05-01 06:00:00,52.149832,0.0,10.35,47.8901745,6,0,0.0
2017-05-01 07:00:00,86.5699185,0.0,9.91,52.149832,7,0,0.0
2017-05-01 08:00:00,107.6713375,0.0,9.31,86.5699185,8,0,0.0
2017-05-01 09:00:00,133.70430149999999,0.0,8.9,107.6713375,9,0,0.0
2017-05-01 10:00:00,219.40917850000002,0.0,8.6,133.70430149999999,10,0,0.0
2017-05-01 11:00:00,190.92333349999998,0.0,9.37,219.40917850000002,11,0,0.0
2017-05-01 12:00:00,191.61335649999998,0.0,9.52,190.92333349999998,12,0,0.0
2017-05-01 13:00:00,198.440826,0.0,9.67,191.61335649999998,13,0,0.0
2017-05-01 14:00:00,199.73085,0.0,10.35,198.440826,14,0,0.0
2017-05-01 15:00:00,200.50215500000002,0.0,10.15,199.73085,15,0,0.0
2017-05-01 16:00:00,201.31628600000002,0.0,9.91,200.50215500000002,16,0,0.0
2017-05-01 17:00:00,152.317224,0.0,9.97,201.31628600000002,17,0,0.0
2017-05-01 18:00:00,138.8705155,0.0,10.04,152.317224,18,0,0.0
2017-05-01 19:00:00,107.349924,0.0,10.0,138.8705155,19,0,0.0
2017-05-01 20:00:00,83.7128125,0.0,9.85,107.349924,20,0,0.0
2017-05-01 21:00:00,59.170237,0.0,9.85,83.7128125,21,0,0.0
2017-05-01 22:00:00,48.8651215,0.0,9.55,59.170237,22,0,0.0
2017-05-01 23:00:00,44.972107,0.0,9.35,48.8651215,23,0,0.0
2017-06-01 00:00:00,42.774215500000004,0.0,9.18,44.972107,0,3,0.0
2017-06-01 01:00:00,42.6933705,0.0,9.52,42.774215500000004,1,3,0.0
2017-06-01 02:00:00,42.954696500000004,0.0,9.17,42.6933705,2,3,0.0
2017-06-01 03:00:00,43.1190085,0.0,9.19,42.954696500000004,3,3,0.0
2017-06-01 04:00:00,42.6820085,0.0,8.58,43.1190085,4,3,0.0
2017-06-01 05:00:00,46.71333350000001,0.0,8.22,42.6820085,5,3,0.0
2017-06-01 06:00:00,52.3580625,0.0,8.34,46.71333350000001,6,3,0.0
2017-06-01 07:00:00,88.63758399999998,0.0,8.28,52.3580625,7,3,0.0
2017-06-01 08:00:00,109.65488049999999,0.0,7.8,88.63758399999998,8,3,0.0
2017-06-01 09:00:00,123.70792649999999,0.0,7.45,109.65488049999999,9,3,0.0
2017-06-01 10:00:00,218.510925,0.0,7.19,123.70792649999999,10,3,0.0
2017-06-01 11:00:00,199.50841699999998,0.0,7.1,218.510925,11,3,0.0
2017-06-01 12:00:00,206.4827185,0.0,7.79,199.50841699999998,12,3,0.0
2017-06-01 13:00:00,210.84070099999997,0.0,8.11,206.4827185,13,3,0.0
2017-06-01 14:00:00,212.97610150000003,0.0,8.42,210.84070099999997,14,3,0.0
2017-06-01 15:00:00,216.6853575,0.0,10.73,212.97610150000003,15,3,0.0
2017-06-01 16:00:00,213.9645955,0.0,13.02,216.6853575,16,3,0.0
2017-06-01 17:00:00,159.67564850000005,0.0,12.82,213.9645955,17,3,0.0
2017-06-01 18:00:00,141.32252250000005,0.0,11.93,159.67564850000005,18,3,0.0
2017-06-01 19:00:00,104.9488275,0.0,12.27,141.32252250000005,19,3,0.0
2017-06-01 20:00:00,78.147836,0.0,12.48,104.9488275,20,3,0.0
2017-06-01 21:00:00,57.32150849999999,0.0,12.09,78.147836,21,3,0.0
2017-06-01 22:00:00,47.5733495,0.0,11.07,57.32150849999999,22,3,0.0
2017-06-01 23:00:00,46.919816,0.0,10.03,47.5733495,23,3,0.0
2017-07-01 00:00:00,46.517776,0.0,9.59,46.919816,0,5,0.0
2017-07-01 01:00:00,45.453681,0.0,9.43,46.517776,1,5,0.0
